unit,tra_meas,airp_pr\time	2018Q2 	2018Q1 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 
SEAT,ST_PAS,MK_LWSK_FR_LFSB	32400 	30816 	10440 	11160 	10800 	10440 	9000 	11376 
SEAT,ST_PAS,MK_LWSK_HR_LDZA	29242 	14636 	9968 	10880 	8394 	5520 	4368 	4748 
SEAT,ST_PAS,MK_LWSK_HU_LHBP	14332 	15520 	4680 	5332 	4320 	6220 	4320 	4980 
SEAT,ST_PAS,MK_LWSK_SE_ESGG	17560 	14760 	6300 	5140 	6120 	5400 	4320 	5040 
SEAT,ST_PAS,MK_LWSK_SE_ESMS	30080 	23760 	12700 	7660 	9720 	8280 	7200 	8280 
SEAT,ST_PAS,MK_LWSK_SI_LJLJ	19182 	17583 	5836 	7036 	6310 	7019 	4812 	5752 
SEAT,ST_PAS,MK_LWSK_SK_LZIB	19260 	18540 	6660 	6480 	6120 	6120 	5940 	6480 
SEAT,ST_PAS,MK_LWSK_TR_LTBA	43084 	53536 	6062 	19096 	17926 	17840 	17584 	18112 
SEAT,ST_PAS,MK_LWSK_TR_LTFJ	23736 	23760 	7434 	8148 	8154 	8538 	7410 	7812 
SEAT,ST_PAS,MK_LWSK_UK_EGGW	21960 	15120 	7560 	6840 	7560 	5400 	4320 	5400 
SEAT,ST_PAS_ARR,MK_LWSK_AT_LOWW	21087 	16596 	7727 	7080 	6280 	5788 	4873 	5935 
SEAT,ST_PAS_ARR,MK_LWSK_BE_EBCI	7020 	5220 	2340 	2520 	2160 	1800 	1440 	1980 
SEAT,ST_PAS_ARR,MK_LWSK_CH_LSZH	25229 	20835 	6742 	7966 	10521 	7148 	6533 	7154 
SEAT,ST_PAS_ARR,MK_LWSK_DE_EDDB	7320 	5016 	2640 	2340 	2340 	1800 	1416 	1800 
SEAT,ST_PAS_ARR,MK_LWSK_DE_EDDK	7140 	7020 	2640 	2340 	2160 	2340 	2160 	2520 
SEAT,ST_PAS_ARR,MK_LWSK_DE_EDFH	7720 	4860 	2990 	2570 	2160 	1620 	1440 	1800 
SEAT,ST_PAS_ARR,MK_LWSK_DE_EDJA	7720 	6660 	2990 	2570 	2160 	2340 	2160 	2160 
SEAT,ST_PAS_ARR,MK_LWSK_DE_EDLW	7020 	6840 	2340 	2520 	2160 	2340 	2160 	2340 
SEAT,ST_PAS_ARR,MK_LWSK_FR_LFSB	16200 	15318 	5220 	5580 	5400 	5220 	4500 	5598 
SEAT,ST_PAS_ARR,MK_LWSK_HR_LDZA	14621 	7318 	4984 	5440 	4197 	2722 	2184 	2412 
SEAT,ST_PAS_ARR,MK_LWSK_HU_LHBP	7256 	7760 	2340 	2756 	2160 	3110 	2160 	2490 
SEAT,ST_PAS_ARR,MK_LWSK_SE_ESGG	8780 	7380 	3150 	2570 	3060 	2700 	2160 	2520 
SEAT,ST_PAS_ARR,MK_LWSK_SE_ESMS	14950 	11880 	6260 	3830 	4860 	4140 	3600 	4140 
SEAT,ST_PAS_ARR,MK_LWSK_SI_LJLJ	9674 	9029 	3001 	3518 	3155 	3771 	2406 	2852 
SEAT,ST_PAS_ARR,MK_LWSK_SK_LZIB	9630 	9360 	3330 	3240 	3060 	3060 	3060 	3240 
SEAT,ST_PAS_ARR,MK_LWSK_TR_LTBA	21542 	26831 	3031 	9548 	8963 	8983 	8792 	9056 
SEAT,ST_PAS_ARR,MK_LWSK_TR_LTFJ	11868 	11880 	3717 	4074 	4077 	4269 	3705 	3906 
SEAT,ST_PAS_ARR,MK_LWSK_UK_EGGW	10980 	7560 	3780 	3420 	3780 	2700 	2160 	2700 
SEAT,ST_PAS_DEP,MK_LWSK_AT_LOWW	21011 	16312 	7727 	7004 	6280 	5599 	4873 	5840 
SEAT,ST_PAS_DEP,MK_LWSK_BE_EBCI	7020 	5220 	2340 	2520 	2160 	1800 	1440 	1980 
SEAT,ST_PAS_DEP,MK_LWSK_CH_LSZH	25229 	20433 	6742 	7966 	10521 	7148 	6185 	7100 
SEAT,ST_PAS_DEP,MK_LWSK_DE_EDDB	7320 	5196 	2640 	2340 	2340 	1800 	1596 	1800 
SEAT,ST_PAS_DEP,MK_LWSK_DE_EDDK	7140 	7020 	2640 	2340 	2160 	2340 	2160 	2520 
SEAT,ST_PAS_DEP,MK_LWSK_DE_EDFH	7720 	4860 	2990 	2570 	2160 	1620 	1440 	1800 
SEAT,ST_PAS_DEP,MK_LWSK_DE_EDJA	7720 	7020 	2990 	2570 	2160 	2520 	2160 	2340 
SEAT,ST_PAS_DEP,MK_LWSK_DE_EDLW	7020 	7020 	2340 	2520 	2160 	2520 	2160 	2340 
SEAT,ST_PAS_DEP,MK_LWSK_FR_LFSB	16200 	15498 	5220 	5580 	5400 	5220 	4500 	5778 
SEAT,ST_PAS_DEP,MK_LWSK_HR_LDZA	14621 	7318 	4984 	5440 	4197 	2798 	2184 	2336 
SEAT,ST_PAS_DEP,MK_LWSK_HU_LHBP	7076 	7760 	2340 	2576 	2160 	3110 	2160 	2490 
SEAT,ST_PAS_DEP,MK_LWSK_SE_ESGG	8780 	7380 	3150 	2570 	3060 	2700 	2160 	2520 
SEAT,ST_PAS_DEP,MK_LWSK_SE_ESMS	15130 	11880 	6440 	3830 	4860 	4140 	3600 	4140 
SEAT,ST_PAS_DEP,MK_LWSK_SI_LJLJ	9508 	8554 	2835 	3518 	3155 	3248 	2406 	2900 
SEAT,ST_PAS_DEP,MK_LWSK_SK_LZIB	9630 	9180 	3330 	3240 	3060 	3060 	2880 	3240 
SEAT,ST_PAS_DEP,MK_LWSK_TR_LTBA	21542 	26705 	3031 	9548 	8963 	8857 	8792 	9056 
SEAT,ST_PAS_DEP,MK_LWSK_TR_LTFJ	11868 	11880 	3717 	4074 	4077 	4269 	3705 	3906 
SEAT,ST_PAS_DEP,MK_LWSK_UK_EGGW	10980 	7560 	3780 	3420 	3780 	2700 	2160 	2700 
